Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					aggregationType		AggregationSpecificationEnum	1..1	How is the mark to market value determined?	common_domain_model:aggregationType
					loansCanBeGrouped		Bool	1..1	The mark to market can be defined separately for different groups of loans.	common_domain_model:loansCanBeGrouped
					otherDetails		str	0..1	Any specfic elections that are not captured by the above options, such as grouping information.	common_domain_model:otherDetails
AggregationParameters		AggregationParameters	 Parameters to be used to filter events that are relevant to a given portfolio in order to calculate the state of this portfolio. The attributes correspond to all the possible aggregation criteria that can be used and these criteria can be combined. All the attributes are optional.							
					dateTime	AggregationParameters_dateTime	XSDDateTime	1..*	To aggregate as of a particular date	common_domain_model:dateTime
					totalPosition		Bool	0..1	Specifies whether to calculate total position to given date, or only daily position for the given date.	common_domain_model:totalPosition
					positionStatus		PositionStatusEnum	0..1	To aggregate based on position status (EXECUTED, SETTLED etc)	common_domain_model:positionStatus
					party	AggregationParameters_party	Party	0..*	To aggregate based on a selection of party(ies) / legal entity(ies).	common_domain_model:party
					product	AggregationParameters_product	NonTransferableProduct	1..*	To aggregate based on a selection of products.	common_domain_model:product
					productQualifier	AggregationParameters_productQualifier	str	0..*	To aggregate based on a selection of product type(s).	common_domain_model:productQualifier
					tradeReference		Trade	0..*		common_domain_model:tradeReference
Agreement		Agreement	Specification of the standard set of terms that define a legal agreement.							
					creditSupportAgreementElections		CreditSupportAgreementElections	0..1	Elections to specify a Credit Support Annex or Credit Support Deed for Intial or Variation Margin.	common_domain_model:creditSupportAgreementElections
					collateralTransferAgreementElections		CollateralTransferAgreementElections	0..1	Elections to specify a Collateral Transfer Agreement.	common_domain_model:collateralTransferAgreementElections
					securityAgreementElections		SecurityAgreementElections	0..1	Elections to specify a Security agreement.	common_domain_model:securityAgreementElections
					masterAgreementSchedule		MasterAgreementSchedule	0..1	Elections to specify a Master Agreement Schedule.	common_domain_model:masterAgreementSchedule
					transactionAdditionalTerms		TransactionAdditionalTerms	0..1	Any additional terms which mainly intend to specify the extraordinary events that may affect a trade and the related contractual rights and obligation of the parties when this happens	common_domain_model:transactionAdditionalTerms
					masterAgreementElections		MasterAgreementElections	0..1	A legal representation of the different possible master agreements	common_domain_model:masterAgreementElections
AgreementName		AgreementName	Specifies the agreement name through an agreement type and optional detailed sub agreement type.							
					agreementType		LegalAgreementTypeEnum	1..1	Specification of the legal agreement type.	common_domain_model:agreementType
					creditSupportAgreementType		CreditSupportAgreementTypeEnum	0..1	Specification of the credit support agreement type.	common_domain_model:creditSupportAgreementType
					creditSupportAgreementMarginType		CollateralMarginTypeEnum	0..1	specifies the type of margin for which a legal agreement is named.	common_domain_model:creditSupportAgreementMarginType
					contractualDefinitionsType		ContractualDefinitionsEnum	0..*	The definitions such as those published by ISDA that will define the terms of the trade.	common_domain_model:contractualDefinitionsType
					contractualTermsSupplement		ContractualTermsSupplement	0..*	A contractual supplement (such as those published by ISDA) that will apply to the trade.	common_domain_model:contractualTermsSupplement
