id,mappings,description
ControlAgreementNecEventElection,,A class to specify party specific Control Agreement language related to delivery of a Notice of Exclusive Control.
CorporateAction,,Specifies the relevant data regarding a corporate action
CorrelationReturnTerms,,
Counterparty,,"Defines a counterparty enumerated value, e.g. Party1 or Party2, with an associated party reference. The product is agnostic to the actual parties to the transaction, with the party references abstracted away from the product definition and replaced by the CounterpartyEnum (e.g. values Party1 or Party2). The CounterpartyEnum can then be positioned in the product (e.g. to specify which counterparty is the payer, receiver etc) and this Counterparty type, which is positioned outside of the product definition, allows the CounterpartyEnum to be associated with an actual party reference."
CounterpartyOwnIssuePermitted,,
CounterpartyPosition,,A Position describes the accumulated effect of a set of securities or financial transactions.
CounterpartyPositionBusinessEvent,,A business event represents a life cycle event of a position. The combination of the state changes results in a qualifiable life cycle event.
CounterpartyPositionState,,"Defines the fundamental financial information that can be changed by a Primitive Event and by extension any business or life-cycle event. Each PositionState specifies where a Position is in its life-cycle. PositionState is a root type and as such, can be created independently to any other CDM data type, but can also be used as part of the CDM Event Model."
CoveredTransactions,,Specification of Transactions covered by the legal agreement.
CreditDefaultPayout,,"The credit default payout specification provides the details necessary for determining when a credit payout will be triggered as well as the parameters for calculating the payout and the settlement terms. The associated globalKey denotes the ability to associate a hash value to the CreditDefaultPayout instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
CreditEvent,,Specifies the relevant data regarding a credit event.
CreditEventNotice,,
CreditEvents,,"A class to specify the applicable Credit Events that would trigger a settlement, as specified in the related Confirmation and defined in the ISDA 2014 Credit Definition article IV section 4.1."
CreditIndex,,"Specification of an index based on credit risk, typically composed using corporate debt instruments in a region or industry sector, e.g. the iTraxx indices."
CreditLimitInformation,,A class to represent the credit limit utilisation information.
CreditLimitUtilisation,,Credit limit utilisation breakdown by executed trades and pending orders.
CreditLimitUtilisationPosition,,
CreditNotation,,"Represents a class to specify the credit notation as the combination of agency, notation, scale and debt type qualifications."
CreditNotations,,"Represents the credit rating notation higher level construct, which provides the ability to specify multiple rating notations."
CreditRatingDebt,,"Specifies the credit rating debt type(s) associated with the credit rating notation and scale. When several debt types are specified, they must be qualified through an 'any' or 'all'."
CreditSupportAgreementElections,,The set of elections which specify a Credit Support Annex or Deed.
CreditSupportAgreementElectionsBase,,"A logical container designed to hold a set of related data. In this case, designed to hold a set of clauses that are common amongst Legacy (1994/95), Variation Margin and Initial Margin Credit Support Documents."
CreditSupportAgreementInitialMarginElections,,The set of elections which specify an Initial Margin Credit Support Annex or Deed.
CreditSupportAgreementLegacyElections,,The set of elections which specify a Legacy (1994 or 1995) Credit Support Annex or Deed.
CreditSupportAgreementVariationMarginElections,,The set of elections which specify a Variation Margin Credit Support Annex or Deed.
CreditSupportAmount,,"The total amount one counterparty must deliver to the other at any time: the combination of the Exposure to that party and the net Independent Amounts it must post, minus any agreed Threshold."
CreditSupportDocument,,Identification of party specific Credit Support Documents applicable to the document.
CreditSupportDocumentElection,,"The party election of Credit Support Provider(s), if any."
CreditSupportObligationsBase,,"A logical container designed to hold a set of related data. In this case, designed to hold a set of clauses that are common amongst Legacy (1994/95), Variation Margin and Initial Margin Credit Support Documents in regards to Credit Support Obligations."
CreditSupportObligationsCollateralTransferAgreement,,Specification of the Credit Support Obligations applicable to the Initial Margin Credit Support Annex.
CreditSupportObligationsInitialMargin,,Specification of the Credit Support Obligations applicable to the Initial Margin Credit Support Annex.
CreditSupportObligationsLegacy,,Specification of the Credit Support Obligations applicable to the Legacy (1994/95) Credit Support Annex.
CreditSupportObligationsVariationMargin,,Specification of the Credit Support Obligations applicable to the Variation Margin Credit Support Annex.
CreditSupportProvider,,Identification of party specific Credit Support Providers applicable to the document.
CreditSupportProviderElection,,"The party election of Credit Support Provider(s), if any."
CSADeliveryAmount,,"In respect of a Valuation Date, the amount of collateral which a party is entitled to demand to be transferred to it as a Delivery Amount."
CSAMinimumTransferAmountVariableSet,,"Defines a combination of Rating Agency, Rating Value, amount and Currency code."
CSAReturnAmount,,"In respect of a Valuation Date, the amount of collateral which a party is entitled to demand to be recalled to it as a Return Amount."
CSAThresholdVariableSet,,"Defines a combination of Rating Agency, Rating Value, Threshold amount and Currency code."
